,Company,TypeName,Ram,OpSys,Weight,Price,Touchscreen,Ips,Cpu_brand,HDD,SSD
106,6,2,4,3,1.85,22105.872,0,0,4,1000,0
107,4,1,8,3,1.3,63563.04,0,1,2,0,256
108,8,4,16,3,2.2,69210.72,0,0,2,1000,256
109,6,2,8,3,1.58,78854.4,0,1,2,0,256
110,4,1,16,3,1.5,67239.36,0,0,2,1000,256
111,5,1,8,3,1.23,73473.12,1,0,2,0,256
112,6,5,8,3,1.37,74538.72,1,1,1,0,256
113,2,2,4,3,1.63,38468.16,0,1,1,500,0
114,5,1,8,3,1.21,86793.12,0,1,1,0,256
115,2,5,8,3,1.26,74538.1872,1,1,1,0,256
116,2,2,8,3,1.63,57755.52,0,0,2,0,512
117,5,2,8,3,2.16,60223.98239999999,0,1,2,1000,256
118,4,2,4,3,2.0,30049.92,0,0,4,1000,0
119,4,2,8,3,1.7,59567.04,0,0,2,0,256
120,3,2,6,3,2.1,25521.12,1,1,4,1000,0
121,8,4,16,3,1.8,119427.12,0,0,2,2000,256
122,6,2,8,2,2.2,33513.119999999995,0,0,1,0,256
123,2,2,16,3,2.5,67718.88,0,0,2,0,512
124,3,2,4,3,2.1,24029.28,0,0,3,0,256
125,2,2,4,2,1.86,13799.52,0,0,5,500,0
126,2,2,8,3,1.63,43263.36,0,0,1,1000,0
127,4,2,4,7,1.65,14811.3072,0,0,3,0,64
128,5,2,16,3,2.8,74378.87999999999,0,0,2,2000,256
129,2,2,8,3,2.5,49443.84,0,0,1,0,256
130,5,2,8,3,2.36,34045.3872,0,0,1,1000,0
131,5,2,4,3,2.2,23922.72,0,0,4,1000,0
132,3,1,8,3,1.6,47099.52,0,1,2,0,256
133,3,2,4,3,2.2,30476.16,0,0,4,0,256
134,2,2,8,3,2.05,31861.44,0,0,2,1000,0
135,2,2,8,3,1.63,52640.64,0,0,2,0,256
136,6,2,4,2,1.9,13445.7408,0,0,5,1000,0
137,4,4,8,3,3.0,49976.64,0,0,1,1000,128
138,6,2,4,2,2.2,26586.72,0,0,1,1000,0
139,2,2,4,3,1.32,37242.72,0,1,1,0,256
140,3,2,4,3,3.0,34898.4,0,1,4,1000,0
141,6,2,8,3,1.75,59461.5456,0,1,1,0,256
142,6,4,8,2,2.4,46300.32,0,1,2,0,256
143,10,2,4,3,2.1,32074.56,0,0,1,500,0
144,2,2,4,3,1.86,19660.32,0,0,3,0,256
145,4,1,8,3,1.25,58554.72,0,0,2,0,256
146,2,1,8,3,0.97,107305.92,1,1,5,0,512
147,4,2,4,3,2.0,18328.32,0,0,5,1000,0
148,8,4,16,3,2.9,108105.12,0,0,2,1000,256
149,3,2,4,3,2.1,23816.16,0,0,4,1000,0
150,5,4,16,3,2.56,66560.5728,0,0,2,0,512
151,5,4,8,3,2.62,47898.72,0,0,2,0,0
